Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
-0.344765,0.057461,9.718064,0.005326,-0.011718,-0.006392
-0.452504,0.035913,9.739613,0.003196,-0.007457,-0.005326
-0.409408,0.086191,9.825804,0.007457,-0.004261,0.004261
-0.438139,0.028730,9.746795,0.004261,-0.002131,0.003196
-0.395043,0.064643,9.789890,0.009588,0.003196,-0.002131
-0.416591,0.021548,9.746795,0.000000,-0.003196,0.000000
-0.380678,-0.014365,9.689334,0.004261,-0.007457,0.000000
-0.387861,0.043096,9.832987,0.006392,-0.003196,0.003196
-0.459687,0.086191,9.739613,0.009588,-0.004261,-0.007457
-0.380678,-0.021548,9.746795,0.006392,-0.005326,-0.010653
-0.373495,0.057461,9.732430,0.003196,-0.002131,0.001065
-0.387861,0.000000,9.775525,-0.003196,-0.005326,0.003196
-0.359130,-0.043096,9.696517,0.003196,-0.002131,0.000000
-0.409408,-0.014365,9.761160,0.005326,-0.005326,0.001065
-0.395043,-0.021548,9.753978,0.008522,-0.008522,-0.002131
-0.395043,-0.007183,9.768343,0.006392,-0.006392,-0.004261
-0.359130,0.064643,9.703699,0.003196,-0.002131,-0.006392
-0.416591,-0.021548,9.746795,0.008522,0.000000,-0.002131
-0.380678,0.100556,9.761160,0.005326,-0.004261,-0.005326
-0.459687,0.014365,9.789890,0.006392,-0.008522,-0.014914
-0.387861,0.093374,9.674969,0.006392,-0.003196,-0.008522
-0.459687,0.007183,9.746795,-0.003196,-0.001065,-0.002131
-0.351948,0.079009,9.732430,-0.001065,-0.002131,0.003196
-0.409408,0.021548,9.797073,0.008522,0.001065,0.000000
-0.452504,-0.007183,9.710882,0.005326,0.002131,-0.006392
-0.395043,-0.035913,9.746795,0.002131,-0.002131,-0.002131
-0.366313,-0.086191,9.782708,0.003196,-0.002131,0.006392
-0.359130,-0.007183,9.725247,0.010653,-0.006392,0.005326
-0.344765,-0.028730,9.804255,0.008522,-0.003196,0.001065
-0.387861,-0.014365,9.753978,0.005326,-0.003196,0.001065
-0.402226,-0.064643,9.646238,0.000000,-0.002131,-0.003196
-0.423774,-0.035913,9.804255,0.005326,-0.004261,0.003196
-0.452504,-0.021548,9.710882,0.007457,0.001065,0.002131
-0.445322,0.021548,9.753978,0.007457,-0.004261,0.004261
-0.409408,-0.021548,9.797073,0.001065,-0.005326,0.006392
-0.445322,0.014365,9.797073,0.005326,-0.004261,-0.003196
-0.430956,0.043096,9.832987,0.005326,-0.002131,-0.006392
-0.409408,0.014365,9.768343,0.005326,0.001065,0.000000
-0.380678,-0.007183,9.746795,0.002131,-0.007457,0.002131
-0.445322,0.028730,9.768343,0.006392,-0.011718,0.000000
-0.402226,0.028730,9.696517,0.008522,0.001065,-0.004261
-0.366313,-0.050278,9.818622,0.006392,-0.002131,0.001065
-0.344765,0.014365,9.739613,-0.001065,-0.002131,-0.001065
-0.380678,-0.021548,9.753978,-0.001065,-0.001065,-0.003196
-0.395043,0.064643,9.746795,0.007457,-0.001065,0.001065
-0.438139,-0.043096,9.732430,0.006392,0.002131,0.003196
-0.323217,0.064643,9.768343,-0.001065,0.005326,0.002131
-0.452504,0.043096,9.818622,0.000000,-0.001065,-0.004261
-0.445322,0.007183,9.761160,-0.001065,-0.007457,0.005326
-0.402226,0.064643,9.725247,0.005326,-0.004261,-0.004261
-0.459687,-0.028730,9.847352,0.010653,0.001065,-0.011718
-0.337582,0.107739,9.746795,0.008522,-0.003196,0.004261
-0.359130,0.021548,9.703699,0.000000,-0.007457,0.004261
-0.387861,0.000000,9.725247,0.009588,-0.010653,-0.004261
-0.459687,-0.071826,9.710882,0.010653,-0.011718,-0.003196
-0.351948,0.014365,9.725247,0.006392,-0.002131,-0.001065
-0.409408,0.086191,9.725247,0.007457,-0.003196,0.001065
-0.380678,-0.014365,9.789890,-0.001065,-0.008522,0.004261
-0.430956,0.028730,9.753978,0.001065,-0.008522,0.008522
-0.416591,0.014365,9.768343,0.005326,-0.005326,0.003196
-0.366313,-0.014365,9.746795,0.004261,-0.002131,-0.004261
-0.395043,0.050278,9.868899,0.007457,-0.003196,-0.004261
-0.409408,0.035913,9.768343,0.001065,-0.004261,0.004261
-0.359130,0.000000,9.768343,0.003196,-0.004261,-0.002131
-0.380678,0.100556,9.667787,0.008522,-0.002131,-0.005326
-0.402226,0.028730,9.804255,0.001065,-0.004261,0.001065
-0.409408,0.014365,9.768343,-0.002131,-0.003196,0.001065
-0.409408,-0.021548,9.696517,0.007457,-0.005326,-0.002131
-0.366313,0.043096,9.725247,0.007457,-0.005326,0.000000
-0.344765,0.007183,9.732430,-0.002131,0.002131,0.000000
-0.409408,0.043096,9.696517,0.004261,0.005326,0.001065
-0.344765,0.079009,9.732430,0.012784,-0.003196,0.000000
-0.402226,0.014365,9.761160,0.004261,-0.007457,-0.002131
-0.445322,-0.021548,9.804255,0.003196,0.001065,-0.004261
-0.351948,-0.071826,9.782708,0.001065,-0.006392,0.005326
-0.438139,0.021548,9.775525,0.006392,-0.002131,0.004261
-0.459687,-0.057461,9.746795,0.009588,0.000000,0.000000
-0.452504,-0.014365,9.682152,-0.003196,-0.008522,0.002131
-0.438139,0.100556,9.718064,0.005326,-0.005326,0.005326
-0.359130,0.043096,9.718064,0.002131,0.005326,-0.002131
-0.416591,0.021548,9.797073,0.007457,0.004261,-0.003196
-0.316035,-0.086191,9.782708,0.007457,-0.003196,0.003196
-0.481235,0.079009,9.746795,0.001065,-0.001065,-0.002131
-0.409408,0.028730,9.689334,0.005326,0.007457,-0.004261
-0.387861,-0.057461,9.797073,0.005326,0.002131,0.000000
-0.373495,0.086191,9.782708,0.003196,-0.007457,0.005326
-0.366313,0.057461,9.725247,0.001065,-0.009588,0.001065
-0.402226,0.021548,9.746795,0.004261,0.000000,0.003196
-0.351948,0.093374,9.789890,0.001065,-0.003196,0.001065
-0.409408,0.000000,9.782708,0.005326,-0.005326,-0.003196
-0.402226,0.000000,9.782708,0.009588,-0.002131,-0.004261
-0.416591,0.007183,9.753978,0.005326,-0.003196,0.000000
-0.416591,-0.043096,9.732430,0.008522,0.002131,0.000000
-0.402226,0.000000,9.804255,0.009588,-0.005326,0.000000
-0.395043,0.071826,9.753978,0.005326,-0.006392,0.000000
-0.416591,-0.043096,9.746795,0.003196,-0.005326,0.003196
-0.337582,0.050278,9.725247,0.005326,-0.002131,-0.005326
-0.416591,-0.057461,9.696517,0.002131,-0.004261,-0.004261
