Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9
0.018639,-0.124053,-9.588684,-0.006699,-0.005888,-0.003502,-582.557617,-324.896057,975.830444
0.075900,-0.002374,-9.595841,-0.004469,-0.010049,-0.007664,-582.557617,-324.896057,975.830444
0.040112,-0.116895,-9.638787,-0.005434,-0.004623,-0.004368,-593.192139,-321.720001,975.974548
0.083057,-0.066793,-9.617313,-0.004269,-0.001327,-0.002137,-593.192139,-321.720001,975.974548
0.025797,-0.116895,-9.560054,-0.003104,-0.002292,0.000094,-593.192139,-321.720001,975.974548
-0.024306,0.004783,-9.560054,-0.001938,-0.004323,0.003189,-593.192139,-321.720001,975.974548
-0.002834,-0.066793,-9.674574,-0.001838,-0.005288,0.002024,-593.192139,-321.720001,975.974548
0.075900,-0.174156,-9.595841,-0.002804,0.000138,0.004055,-593.192139,-321.720001,975.974548
0.061584,-0.124053,-9.545738,-0.000573,0.002169,0.000759,-593.192139,-321.720001,975.974548
0.097372,-0.081108,-9.581527,0.001658,0.005265,0.000659,-593.192139,-321.720001,975.974548
0.025797,-0.088265,-9.531424,0.002623,0.006230,-0.001572,-593.192139,-321.720001,975.974548
-0.031464,-0.095423,-9.567211,0.002523,0.003999,-0.004668,-593.192139,-321.720001,975.974548
0.075900,-0.131211,-9.610157,0.002423,0.002834,-0.006698,-593.164612,-323.211670,975.975525
-0.031464,-0.052477,-9.567211,0.002323,-0.000462,-0.006598,-593.164612,-323.211670,975.975525
0.011482,-0.052477,-9.624472,0.001158,0.000704,-0.006498,-593.164612,-323.211670,975.975525
0.018639,-0.145526,-9.595841,-0.002138,-0.004723,0.002124,-593.164612,-323.211670,975.975525
0.032954,-0.166998,-9.660259,-0.003104,-0.002492,0.002024,-593.164612,-323.211670,975.975525
-0.009991,-0.059635,-9.624472,0.000192,-0.003458,0.002989,-593.164612,-323.211670,975.975525
-0.067252,-0.081108,-9.653102,0.005419,0.003034,-0.002437,-593.164612,-323.211670,975.975525
0.025797,-0.138368,-9.602999,0.005319,-0.001327,0.000859,-593.164612,-323.211670,975.975525
0.032954,-0.045320,-9.567211,0.003088,-0.004423,0.001824,-593.164612,-323.211670,975.975525
-0.024306,-0.066793,-9.602999,-0.001273,-0.005388,0.000659,-593.164612,-323.211670,975.975525
0.047269,-0.124053,-9.696048,-0.002238,-0.006354,-0.003702,-593.343994,-315.755341,978.966492
0.032954,-0.081108,-9.509951,-0.002138,-0.003058,-0.003602,-593.343994,-315.755341,978.966492
0.004324,-0.023847,-9.617313,0.001158,-0.000827,-0.002437,-593.343994,-315.755341,978.966492
0.126003,-0.131211,-9.588684,0.002123,0.000338,-0.001272,-593.343994,-315.755341,978.966492
0.061584,-0.045320,-9.631629,0.000958,-0.004023,-0.000106,-593.343994,-315.755341,978.966492
0.040112,-0.116895,-9.624472,-0.005534,-0.004988,0.002124,-593.343994,-315.755341,978.966492
0.025797,-0.023847,-9.474163,-0.006499,-0.000627,0.002024,-593.343994,-315.755341,978.966492
-0.017149,-0.131211,-9.552896,-0.003204,0.002669,0.001924,-593.343994,-315.755341,978.966492
0.025797,-0.131211,-9.653102,0.003288,0.001504,0.002889,-593.343994,-315.755341,978.966492
0.047269,-0.174156,-9.610157,0.008515,0.000338,0.003855,-593.343994,-315.755341,978.966492
-0.002834,-0.059635,-9.681732,0.008415,0.002369,-0.000506,-592.991821,-329.175354,971.485718
0.025797,-0.081108,-9.660259,0.005119,0.003334,-0.006798,-592.991821,-329.175354,971.485718
0.004324,-0.038162,-9.595841,0.000758,0.002169,-0.009894,-592.991821,-329.175354,971.485718
0.025797,-0.023847,-9.645944,-0.004669,0.002069,-0.008729,-592.991821,-329.175354,971.485718
0.040112,-0.124053,-9.581527,-0.006699,0.000904,-0.004368,-592.991821,-329.175354,971.485718
0.004324,-0.166998,-9.509951,-0.005534,-0.001327,-0.004268,-592.991821,-329.175354,971.485718
0.032954,-0.159841,-9.638787,-0.001173,-0.004423,0.002224,-592.991821,-329.175354,971.485718
0.025797,-0.159841,-9.588684,0.002123,-0.003258,0.003189,-592.991821,-329.175354,971.485718
0.032954,-0.138368,-9.681732,0.003088,-0.002092,0.002024,-592.991821,-329.175354,971.485718
